OPCS_4.9,Description
S32.3,S32.3: Distant osteomusculocutaneous flap to head or neck NEC
S32.4,S32.4: Distant osteomusculocutaneous free flap to head or neck
S32.5,S32.5: Distant osteomusculocutaneous free flap NEC
S32.8,S32.8: Other specified distant flap of skin and multiple tissues
S32.9,S32.9: Unspecified distant flap of skin and multiple tissues
S33.1,S33.1: Hair bearing punch graft to scalp for male pattern baldness
S33.2,S33.2: Hair bearing strip graft to scalp for male pattern baldness
S33.3,S33.3: Hair bearing graft to scalp for male pattern baldness NEC
S33.8,S33.8: Other specified hair bearing graft of skin to scalp
S33.9,S33.9: Unspecified hair bearing graft of skin to scalp
S34.1,S34.1: Hair bearing graft to nasolabial area
S34.2,S34.2: Hair bearing graft to chin area
S34.8,S34.8: Other specified hair bearing graft of skin to other site
S34.9,S34.9: Unspecified hair bearing graft of skin to other site
S35.1,S35.1: Meshed split autograft of skin to head or neck
S35.2,S35.2: Meshed split autograft of skin NEC
S35.3,S35.3: Split autograft of skin to head or neck NEC
S35.8,S35.8: Other specified split autograft of skin
S35.9,S35.9: Unspecified split autograft of skin
S36.1,S36.1: Full thickness autograft of skin to head or neck
S36.2,S36.2: Full thickness autograft of skin NEC
S36.3,S36.3: Composite autograft of skin to head or neck
S36.4,S36.4: Composite autograft of skin NEC
S36.5,S36.5: Pinch graft of skin to head or neck
S36.6,S36.6: Pinch graft of skin NEC
S36.8,S36.8: Other specified other autograft of skin
S36.9,S36.9: Unspecified other autograft of skin
S37.1,S37.1: Allograft of skin to head or neck
S37.2,S37.2: Allograft of skin NEC
S37.3,S37.3: Xenograft of skin to head or neck
S37.4,S37.4: Xenograft of skin NEC
S37.8,S37.8: Other specified other graft of skin
S37.9,S37.9: Unspecified other graft of skin
S38.1,S38.1: Graft of mucosa to head or neck
S38.8,S38.8: Other specified graft of mucosa
S38.9,S38.9: Unspecified graft of mucosa
S39.1,S39.1: Allograft of amniotic membrane to head or neck
S39.2,S39.2: Allograft of amniotic membrane NEC
S39.8,S39.8: Other specified graft of other tissue to skin
S39.9,S39.9: Unspecified graft of other tissue to skin
S40.1,S40.1: Tape closure of skin NEC
S40.2,S40.2: Tissue adhesive closure of skin NEC
S40.3,S40.3: Tape closure of skin of head or neck
S40.4,S40.4: Tissue adhesive closure of skin of head or neck
S40.8,S40.8: Other specified other closure of skin
S40.9,S40.9: Unspecified other closure of skin
S41.1,S41.1: Primary suture of skin of head or neck NEC
S41.2,S41.2: Delayed primary suture of skin of head or neck
S41.3,S41.3: Secondary suture of skin of head or neck
S41.4,S41.4: Resuture of skin of head or neck
S41.8,S41.8: Other specified suture of skin of head or neck
S41.9,S41.9: Unspecified suture of skin of head or neck
S42.1,S42.1: Primary suture of skin NEC
S42.2,S42.2: Delayed primary suture of skin NEC
S42.3,S42.3: Secondary suture of skin NEC
S42.4,S42.4: Resuture of skin NEC
S42.8,S42.8: Other specified suture of skin of other site
S42.9,S42.9: Unspecified suture of skin of other site
S43.1,S43.1: Removal of clip from skin of head or neck
S43.2,S43.2: Removal of clip from skin NEC
S43.3,S43.3: Removal of suture from skin of head or neck
S43.4,S43.4: Removal of suture from skin NEC
S43.8,S43.8: Other specified removal of repair material from skin
S43.9,S43.9: Unspecified removal of repair material from skin
S44.1,S44.1: Removal of metal from skin of head or neck
S44.2,S44.2: Removal of metal from skin NEC
S44.3,S44.3: Removal of glass from skin of head or neck
S44.4,S44.4: Removal of glass from skin NEC
S44.5,S44.5: Removal of inorganic foreign body from skin of head or neck NEC
S44.6,S44.6: Removal of inorganic foreign body from skin NEC
S44.8,S44.8: Other specified removal of other inorganic substance from skin
S44.9,S44.9: Unspecified removal of other inorganic substance from skin
S45.1,S45.1: Removal of dirt from skin of head or neck
S45.2,S45.2: Removal of dirt from skin NEC
S45.3,S45.3: Removal of organic material from skin of head or neck NEC
S45.4,S45.4: Removal of organic material from skin NEC
S45.5,S45.5: Removal of foreign body from skin of head or neck NEC
S45.6,S45.6: Removal of foreign body from skin NEC
S45.8,S45.8: Other specified removal of other substance from skin
S45.9,S45.9: Unspecified removal of other substance from skin
S47.1,S47.1: Drainage of lesion of skin of head or neck
S47.2,S47.2: Drainage of lesion of skin NEC
S47.3,S47.3: Incision of lesion of skin of head or neck
S47.4,S47.4: Incision of lesion of skin NEC
S47.5,S47.5: Incision of skin of head or neck
S47.6,S47.6: Incision of skin NEC
S47.8,S47.8: Other specified opening of skin
S47.9,S47.9: Unspecified opening of skin
S48.1,S48.1: Insertion of skin expander into subcutaneous tissue of head or neck
S48.2,S48.2: Insertion of skin expander into subcutaneous tissue of breast
S48.8,S48.8: Other specified insertion of skin expander into subcutaneous tissue
S48.9,S48.9: Unspecified insertion of skin expander into subcutaneous tissue
S49.1,S49.1: Adjustment to skin expander in subcutaneous tissue
S49.2,S49.2: Removal of skin expander from subcutaneous tissue of head or neck
S49.3,S49.3: Removal of skin expander from subcutaneous tissue of breast
S49.4,S49.4: Removal of skin expander from subcutaneous tissue NEC
S49.8,S49.8: Other specified attention to skin expander in subcutaneous tissue
S49.9,S49.9: Unspecified attention to skin expander in subcutaneous tissue
S50.1,S50.1: Insertion of organic inert substance into subcutaneous tissue
S50.2,S50.2: Injection of organic inert substance into subcutaneous tissue
S50.3,S50.3: Insertion of inert substance into subcutaneous tissue NEC
S50.4,S50.4: Injection of inert substance into subcutaneous tissue NEC
S50.8,S50.8: Other specified introduction of other inert substance into subcutaneous tissue
S50.9,S50.9: Unspecified introduction of other inert substance into subcutaneous tissue
S51.1,S51.1: Injection of sclerosing substance into subcutaneous tissue
S51.8,S51.8: Other specified introduction of destructive substance into subcutaneous tissue
S51.9,S51.9: Unspecified introduction of destructive substance into subcutaneous tissue
S52.1,S52.1: Insertion of steroid into subcutaneous tissue
S52.3,S52.3: Insertion of therapeutic substance into subcutaneous tissue NEC
S52.5,S52.5: Insertion of hormone into subcutaneous tissue
S52.6,S52.6: Replacement of hormone in subcutaneous tissue
S52.8,S52.8: Other specified introduction of therapeutic substance into subcutaneous tissue
S52.9,S52.9: Unspecified introduction of therapeutic substance into subcutaneous tissue
S53.1,S53.1: Insertion of therapeutic substance into skin
S53.2,S53.2: Injection of therapeutic substance into skin
S53.3,S53.3: Insertion of inert substance into skin
S53.4,S53.4: Injection of inert substance into skin
S53.5,S53.5: Insertion of diagnostic substance into skin
S53.6,S53.6: Injection of diagnostic substance into skin
S53.7,S53.7: Application of dermal substitute to skin
S53.8,S53.8: Other specified introduction of substance into skin
S53.9,S53.9: Unspecified introduction of substance into skin
S54.1,S54.1: Debridement of burnt skin of head or neck
S54.2,S54.2: Removal of slough from burnt skin of head or neck
S54.3,S54.3: Toilet to burnt skin of head or neck NEC
S54.4,S54.4: Dressing of burnt skin of head or neck NEC
S54.5,S54.5: Attention to dressing of burnt skin of head or neck
S54.6,S54.6: Cleansing and sterilisation of burnt skin of head or neck
S54.7,S54.7: Dressing of burnt skin of head or neck using vacuum assisted closure device
S54.8,S54.8: Other specified exploration of burnt skin of head or neck
S54.9,S54.9: Unspecified exploration of burnt skin of head or neck
S55.1,S55.1: Debridement of burnt skin NEC
S55.2,S55.2: Removal of slough from burnt skin NEC
S55.3,S55.3: Toilet to burnt skin NEC
S55.4,S55.4: Dressing of burnt skin NEC
S55.5,S55.5: Attention to dressing of burnt skin NEC
S55.6,S55.6: Cleansing and sterilisation of burnt skin NEC
S55.7,S55.7: Dressing of burnt skin using vacuum assisted closure device NEC
S55.8,S55.8: Other specified exploration of burnt skin of other site
S55.9,S55.9: Unspecified exploration of burnt skin of other site
S56.1,S56.1: Debridement of skin of head or neck NEC
S56.2,S56.2: Removal of slough from skin of head or neck NEC
S56.3,S56.3: Toilet to skin of head or neck NEC
S56.4,S56.4: Dressing of skin of head or neck NEC
S56.5,S56.5: Attention to dressing of skin of head or neck NEC
S56.6,S56.6: Cleansing and sterilisation of skin of head or neck NEC
S56.7,S56.7: Dressing of skin of head or neck using vacuum assisted closure device NEC
S56.8,S56.8: Other specified exploration of other skin of head or neck
S56.9,S56.9: Unspecified exploration of other skin of head or neck
S57.1,S57.1: Debridement of skin NEC
S57.2,S57.2: Removal of slough from skin NEC
S57.3,S57.3: Toilet of skin NEC
S57.4,S57.4: Dressing of skin NEC
S57.5,S57.5: Attention to dressing of skin NEC
S57.6,S57.6: Cleansing and sterilisation of skin NEC
S57.7,S57.7: Dressing of skin using vacuum assisted closure device NEC
S57.8,S57.8: Other specified exploration of other skin of other site
S57.9,S57.9: Unspecified exploration of other skin of other site
S58.1,S58.1: Larvae debridement therapy of skin of head or neck
S58.2,S58.2: Larvae debridement therapy of skin NEC
S58.8,S58.8: Other specified larvae therapy of skin
S58.9,S58.9: Unspecified larvae therapy of skin
S59.1,S59.1: Leech therapy of skin of head or neck
S59.2,S59.2: Leech therapy of skin NEC
S59.8,S59.8: Other specified leech therapy of skin
S59.9,S59.9: Unspecified leech therapy of skin
S60.1,S60.1: Dermabrasion of skin of head or neck
S60.2,S60.2: Dermabrasion of skin NEC
S60.3,S60.3: Tattooing of skin
S60.4,S60.4: Refashioning of scar NEC
S60.5,S60.5: Diagnostic dermatoscopy of skin
S60.6,S60.6: Electrolysis of hair
S60.7,S60.7: Epilation NEC
S60.8,S60.8: Other specified other operations on skin
S60.9,S60.9: Unspecified other operations on skin
S62.1,S62.1: Liposuction of subcutaneous tissue of head or neck
S62.2,S62.2: Liposuction of subcutaneous tissue NEC
S62.3,S62.3: Removal of inserted substance from subcutaneous tissue
S62.4,S62.4: Removal of pack from subcutaneous tissue
S62.5,S62.5: Removal of hormone implant from subcutaneous tissue
S62.6,S62.6: Insertion of diagnostic substance into subcutaneous tissue
S62.7,S62.7: Insertion of diagnostic device into subcutaneous tissue
S62.8,S62.8: Other specified other operations on subcutaneous tissue
S62.9,S62.9: Unspecified other operations on subcutaneous tissue
S63.1,S63.1: Removal of diagnostic device from subcutaneous tissue
S63.2,S63.2: Creation of subcutaneous storage pocket and placement of autologous tissue
S63.3,S63.3: Removal of autologous tissue from subcutaneous storage pocket
S63.8,S63.8: Other specified operations on subcutaneous tissue
S63.9,S63.9: Unspecified operations on subcutaneous tissue
S64.1,S64.1: Excision of nail bed
S64.2,S64.2: Chemical destruction of nail bed
S64.3,S64.3: Destruction of nail bed NEC
S64.8,S64.8: Other specified extirpation of nail bed
S64.9,S64.9: Unspecified extirpation of nail bed
S66.1,S66.1: Biopsy of lesion of nail bed
S66.2,S66.2: Repair of nail bed
S66.3,S66.3: Incision of nail bed
S66.8,S66.8: Other specified other operations on nail bed
S66.9,S66.9: Unspecified other operations on nail bed
S68.1,S68.1: Total excision of nail
S68.2,S68.2: Excision of wedge of nail
S68.3,S68.3: Partial excision of nail NEC
S68.8,S68.8: Other specified excision of nail
S68.9,S68.9: Unspecified excision of nail
S70.1,S70.1: Avulsion of nail
S70.2,S70.2: Incision of nail
S70.3,S70.3: Removal of foreign body from nail
S70.8,S70.8: Other specified other operations on nail
S70.9,S70.9: Unspecified other operations on nail
T01.1,T01.1: Thoracoplasty
T01.2,T01.2: Removal of plombage material from chest wall
T01.3,T01.3: Excision of lesion of chest wall
T01.8,T01.8: Other specified partial excision of chest wall
T01.9,T01.9: Unspecified partial excision of chest wall
T02.1,T02.1: Correction of pectus deformity of chest wall
T02.2,T02.2: Insertion of silicone implant for correction of pectus excavatum
T02.3,T02.3: Insertion of prosthesis into chest wall NEC
T02.4,T02.4: Removal of prosthesis from chest wall
T02.8,T02.8: Other specified reconstruction of chest wall
T02.9,T02.9: Unspecified reconstruction of chest wall
T03.1,T03.1: Exploratory median sternotomy
T03.2,T03.2: Reopening of chest and re-exploration of intrathoracic operation site and surgical arrest of postoperative bleeding
T03.3,T03.3: Reopening of chest and re-exploration of intrathoracic operation site NEC
T03.4,T03.4: Reopening of chest NEC
T03.8,T03.8: Other specified opening of chest
T03.9,T03.9: Unspecified opening of chest
T05.1,T05.1: Suture of chest wall
T05.2,T05.2: Resuture of previous incision of chest wall
T05.3,T05.3: Repair of chest wall NEC
T05.4,T05.4: Removal of wire from chest wall
T05.8,T05.8: Other specified other operations on chest wall
T05.9,T05.9: Unspecified other operations on chest wall
T07.1,T07.1: Decortication of pleura
T07.2,T07.2: Open excision of lesion of pleura
T07.8,T07.8: Other specified open excision of pleura
T07.9,T07.9: Unspecified open excision of pleura
T08.1,T08.1: Resection of rib and open drainage of pleural cavity
T08.2,T08.2: Closure of open drainage of pleural cavity
T08.3,T08.3: Fenestration of pleura
T08.4,T08.4: Closure of fenestration of pleura
T08.8,T08.8: Other specified open drainage of pleural cavity
T08.9,T08.9: Unspecified open drainage of pleural cavity
T09.1,T09.1: Open destruction of lesion of pleura
T09.2,T09.2: Open biopsy of lesion of pleura
T09.3,T09.3: Mechanical open pleurodesis
T09.4,T09.4: Chemical open pleurodesis
T09.5,T09.5: Open pleurodesis NEC
T09.8,T09.8: Other specified other open operations on pleura
T09.9,T09.9: Unspecified other open operations on pleura
T10.1,T10.1: Endoscopic extirpation of lesion of pleura
T10.2,T10.2: Endoscopic pleurodesis using talc
T10.3,T10.3: Endoscopic pleurodesis NEC
T10.8,T10.8: Other specified therapeutic endoscopic operations on pleura
T10.9,T10.9: Unspecified therapeutic endoscopic operations on pleura
T11.1,T11.1: Diagnostic endoscopic examination of pleura and biopsy of lesion of pleura
T11.2,T11.2: Diagnostic endoscopic examination of pleura and biopsy of lesion of intrathoracic organ NEC
T11.8,T11.8: Other specified diagnostic endoscopic examination of pleura
T11.9,T11.9: Unspecified diagnostic endoscopic examination of pleura
T12.1,T12.1: Drainage of lesion of pleura NEC
T12.2,T12.2: Drainage of pleural cavity NEC
T12.3,T12.3: Aspiration of pleural cavity
T12.4,T12.4: Insertion of tube drain into pleural cavity
T12.5,T12.5: Attention to tube drain into pleural cavity
T12.6,T12.6: Insertion of tunnelled catheter into pleural cavity
T12.7,T12.7: Attention to tunnelled catheter in pleural cavity
T12.8,T12.8: Other specified puncture of pleura
T12.9,T12.9: Unspecified puncture of pleura
T13.1,T13.1: Insufflation of talc into pleural cavity NEC
T13.2,T13.2: Introduction of sclerosing substance into pleural cavity NEC
T13.3,T13.3: Introduction of cytotoxic substance into pleural cavity
T13.4,T13.4: Introduction of therapeutic substance into pleural cavity
T13.8,T13.8: Other specified introduction of substance into pleural cavity
T13.9,T13.9: Unspecified introduction of substance into pleural cavity
T14.1,T14.1: Percutaneous biopsy of lesion of pleura
T14.8,T14.8: Other specified other operations on pleura
T14.9,T14.9: Unspecified other operations on pleura
T15.1,T15.1: Repair of traumatic rupture of diaphragm
T15.2,T15.2: Repair of postoperative rupture of diaphragm
T15.8,T15.8: Other specified repair of rupture of diaphragm
T15.9,T15.9: Unspecified repair of rupture of diaphragm
T16.1,T16.1: Insertion of prosthesis for repair of diaphragm
T16.2,T16.2: Plication of diaphragm
T16.3,T16.3: Closure of fistula of diaphragm
T16.4,T16.4: Repair of congenital diaphragmatic hernia
T16.5,T16.5: Suture of diaphragm NEC
T16.8,T16.8: Other specified other repair of diaphragm
T16.9,T16.9: Unspecified other repair of diaphragm
T17.1,T17.1: Excision of lesion of diaphragm
T17.2,T17.2: Destruction of lesion of diaphragm
T17.8,T17.8: Other specified other operations on diaphragm
T17.9,T17.9: Unspecified other operations on diaphragm
T19.1,T19.1: Bilateral herniotomy
T19.2,T19.2: Unilateral herniotomy
T19.3,T19.3: Ligation of patent processus vaginalis
T19.8,T19.8: Other specified simple excision of inguinal hernial sac
T19.9,T19.9: Unspecified simple excision of inguinal hernial sac
T20.1,T20.1: Primary repair of inguinal hernia using insert of natural material
T20.2,T20.2: Primary repair of inguinal hernia using insert of prosthetic material
T20.3,T20.3: Primary repair of inguinal hernia using sutures
T20.4,T20.4: Primary repair of inguinal hernia and reduction of sliding hernia
T20.8,T20.8: Other specified primary repair of inguinal hernia
T20.9,T20.9: Unspecified primary repair of inguinal hernia
T21.1,T21.1: Repair of recurrent inguinal hernia using insert of natural material
T21.2,T21.2: Repair of recurrent inguinal hernia using insert of prosthetic material
T21.3,T21.3: Repair of recurrent inguinal hernia using sutures
T21.4,T21.4: Removal of prosthetic material from previous repair of inguinal hernia
T21.8,T21.8: Other specified repair of recurrent inguinal hernia
T21.9,T21.9: Unspecified repair of recurrent inguinal hernia
T22.1,T22.1: Primary repair of femoral hernia using insert of natural material
T22.2,T22.2: Primary repair of femoral hernia using insert of prosthetic material
T22.3,T22.3: Primary repair of femoral hernia using sutures
T22.8,T22.8: Other specified primary repair of femoral hernia
T22.9,T22.9: Unspecified primary repair of femoral hernia
T23.1,T23.1: Repair of recurrent femoral hernia using insert of natural material
T23.2,T23.2: Repair of recurrent femoral hernia using insert of prosthetic material
T23.3,T23.3: Repair of recurrent femoral hernia using sutures
T23.4,T23.4: Removal of prosthetic material from previous repair of femoral hernia
T23.8,T23.8: Other specified repair of recurrent femoral hernia
T23.9,T23.9: Unspecified repair of recurrent femoral hernia
T24.1,T24.1: Repair of umbilical hernia using insert of natural material
T24.2,T24.2: Repair of umbilical hernia using insert of prosthetic material
T24.3,T24.3: Repair of umbilical hernia using sutures
T24.4,T24.4: Removal of prosthetic material from previous repair of umbilical hernia
T24.8,T24.8: Other specified primary repair of umbilical hernia
T24.9,T24.9: Unspecified primary repair of umbilical hernia
T25.1,T25.1: Primary repair of incisional hernia using insert of natural material
T25.2,T25.2: Primary repair of incisional hernia using insert of prosthetic material
T25.3,T25.3: Primary repair of incisional hernia using sutures
T25.8,T25.8: Other specified primary repair of incisional hernia
T25.9,T25.9: Unspecified primary repair of incisional hernia
T26.1,T26.1: Repair of recurrent incisional hernia using insert of natural material
T26.2,T26.2: Repair of recurrent incisional hernia using insert of prosthetic material
T26.3,T26.3: Repair of recurrent incisional hernia using sutures
T26.4,T26.4: Removal of prosthetic material from previous repair of incisional hernia
T26.8,T26.8: Other specified repair of recurrent incisional hernia
T26.9,T26.9: Unspecified repair of recurrent incisional hernia
T27.1,T27.1: Repair of ventral hernia using insert of natural material
T27.2,T27.2: Repair of ventral hernia using insert of prosthetic material
T27.3,T27.3: Repair of ventral hernia using sutures
T27.4,T27.4: Removal of prosthetic material from previous repair of ventral hernia
T27.8,T27.8: Other specified repair of other hernia of abdominal wall
T27.9,T27.9: Unspecified repair of other hernia of abdominal wall
T28.1,T28.1: Closure of gastroschisis
T28.2,T28.2: Suture of anterior abdominal wall
T28.3,T28.3: Resuture of previous incision of anterior abdominal wall
T28.8,T28.8: Other specified other repair of anterior abdominal wall
T28.9,T28.9: Unspecified other repair of anterior abdominal wall
T29.1,T29.1: Excision of umbilicus
T29.2,T29.2: Excision of urachus
T29.3,T29.3: Extirpation of lesion of umbilicus
T29.4,T29.4: Biopsy of lesion of umbilicus
T29.5,T29.5: Excision of fistula of umbilicus
T29.6,T29.6: Plastic operations on umbilicus
T29.8,T29.8: Other specified operations on umbilicus
T29.9,T29.9: Unspecified operations on umbilicus
T30.1,T30.1: Reopening of abdomen and re-exploration of intra-abdominal operation site and surgical arrest of postoperative bleeding
T30.2,T30.2: Reopening of abdomen and re-exploration of intra-abdominal operation site NEC
T30.3,T30.3: Reopening of abdomen NEC
T30.4,T30.4: Opening of abdomen and exploration of groin
T30.5,T30.5: Packing of abdominal cavity
T30.8,T30.8: Other specified opening of abdomen
T30.9,T30.9: Unspecified opening of abdomen
T31.1,T31.1: Biopsy of lesion of anterior abdominal wall
T31.2,T31.2: Excision of lesion of anterior abdominal wall and insert of prosthetic material into anterior abdominal wall
T31.3,T31.3: Excision of lesion of anterior abdominal wall NEC
T31.4,T31.4: Destruction of lesion of anterior abdominal wall
T31.5,T31.5: Drainage of anterior abdominal wall
T31.6,T31.6: Removal of foreign body from anterior abdominal wall
T31.7,T31.7: Exploration of groin NEC
T31.8,T31.8: Other specified other operations on anterior abdominal wall
T31.9,T31.9: Unspecified other operations on anterior abdominal wall
T32.1,T32.1: Reconstruction of anterior abdominal wall using insert of natural material
T32.2,T32.2: Reconstruction of anterior abdominal wall using insert of prosthetic material
T32.3,T32.3: Reconstruction of anterior abdominal wall using flap NEC
T32.4,T32.4: Reconstruction of anterior abdominal wall using insert of prosthetic material and flap NEC
T32.8,T32.8: Other specified reconstruction of anterior abdominal wall
T32.9,T32.9: Unspecified reconstruction of anterior abdominal wall
T33.1,T33.1: Open excision of lesion of peritoneum
T33.2,T33.2: Open destruction of lesion of peritoneum
T33.8,T33.8: Other specified open extirpation of lesion of peritoneum
T33.9,T33.9: Unspecified open extirpation of lesion of peritoneum
T34.1,T34.1: Open drainage of subphrenic abscess
T34.2,T34.2: Open drainage of pelvic abscess
T34.3,T34.3: Open drainage of abdominal abscess NEC
T34.8,T34.8: Other specified open drainage of peritoneum
T34.9,T34.9: Unspecified open drainage of peritoneum
T36.1,T36.1: Omentectomy
T36.2,T36.2: Excision of lesion of omentum
T36.3,T36.3: Destruction of lesion of omentum
T36.4,T36.4: Biopsy of lesion of omentum
T36.5,T36.5: Creation of omental flap
T36.8,T36.8: Other specified operations on omentum
T36.9,T36.9: Unspecified operations on omentum
T37.1,T37.1: Excision of lesion of mesentery of small intestine
T37.2,T37.2: Destruction of lesion of mesentery of small intestine
T37.3,T37.3: Biopsy of lesion of mesentery of small intestine
T37.4,T37.4: Repair of mesentery of small intestine
T37.8,T37.8: Other specified operations on mesentery of small intestine
T37.9,T37.9: Unspecified operations on mesentery of small intestine
T38.1,T38.1: Excision of lesion of mesentery of colon
T38.2,T38.2: Destruction of lesion of mesentery of colon
T38.3,T38.3: Biopsy of lesion of mesentery of colon
T38.4,T38.4: Repair of mesentery of colon
T38.8,T38.8: Other specified operations on mesentery of colon
T38.9,T38.9: Unspecified operations on mesentery of colon
T39.1,T39.1: Excision of lesion of posterior peritoneum
T39.2,T39.2: Destruction of lesion of posterior peritoneum
T39.3,T39.3: Biopsy of lesion of posterior peritoneum
T39.8,T39.8: Other specified operations on posterior peritoneum
T39.9,T39.9: Unspecified operations on posterior peritoneum
T41.1,T41.1: Open biopsy of lesion of peritoneum NEC
T41.2,T41.2: Division of band of peritoneum
T41.3,T41.3: Freeing of adhesions of peritoneum
T41.4,T41.4: Open removal of foreign body from peritoneum
T41.5,T41.5: Freeing of extensive adhesions of peritoneum
T41.6,T41.6: Excision of peritoneum
T41.8,T41.8: Other specified other open operations on peritoneum
T41.9,T41.9: Unspecified other open operations on peritoneum
T42.1,T42.1: Endoscopic resection of lesion of peritoneum
T42.2,T42.2: Endoscopic destruction of lesion of peritoneum
T42.3,T42.3: Endoscopic division of adhesions of peritoneum
T42.4,T42.4: Endoscopic removal of foreign body from peritoneum
T42.5,T42.5: Endoscopic excision of peritoneum
T42.8,T42.8: Other specified therapeutic endoscopic operations on peritoneum
T42.9,T42.9: Unspecified therapeutic endoscopic operations on peritoneum
T43.1,T43.1: Diagnostic endoscopic examination of peritoneum and biopsy of lesion of peritoneum
T43.2,T43.2: Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intra-abdominal organ NEC
T43.3,T43.3: Diagnostic endoscopic ultrasound examination of peritoneum
T43.4,T43.4: Diagnostic endoscopic ultrasound examination of peritoneum and biopsy of intra-abdominal organ
T43.8,T43.8: Other specified diagnostic endoscopic examination of peritoneum
T43.9,T43.9: Unspecified diagnostic endoscopic examination of peritoneum
T45.1,T45.1: Image controlled percutaneous drainage of subphrenic abscess
T45.2,T45.2: Image controlled percutaneous drainage of pelvic abscess
T45.3,T45.3: Image controlled percutaneous drainage of abdominal abscess NEC
T45.4,T45.4: Image controlled percutaneous drainage of lesion of abdominal cavity NEC
T45.8,T45.8: Other specified image controlled operations on abdominal cavity
T45.9,T45.9: Unspecified image controlled operations on abdominal cavity
T46.1,T46.1: Paracentesis abdominis for ascites
T46.2,T46.2: Drainage of ascites NEC
T46.3,T46.3: Irrigation of peritoneal cavity
T46.8,T46.8: Other specified other drainage of peritoneal cavity
T46.9,T46.9: Unspecified other drainage of peritoneal cavity
T48.1,T48.1: Introduction of radioactive substance into peritoneal cavity
T48.2,T48.2: Introduction of cytotoxic substance into peritoneal cavity
T48.3,T48.3: Introduction of therapeutic substance into peritoneal cavity
T48.4,T48.4: Introduction of substance into peritoneal cavity NEC
T48.8,T48.8: Other specified other operations on peritoneum
T48.9,T48.9: Unspecified other operations on peritoneum
T50.1,T50.1: Transfer of fascial tissue
T50.8,T50.8: Other specified transplantation of fascia
T50.9,T50.9: Unspecified transplantation of fascia
T51.1,T51.1: Excision of fascia of posterior abdominal wall
T51.2,T51.2: Excision of fascia of pelvis
T51.8,T51.8: Other specified excision of fascia of abdomen
T51.9,T51.9: Unspecified excision of fascia of abdomen
T52.1,T52.1: Palmar fasciectomy
T52.2,T52.2: Revision of palmar fasciectomy
T52.3,T52.3: Plantar fasciectomy
T52.4,T52.4: Revision of plantar fasciectomy
T52.5,T52.5: Digital fasciectomy
T52.6,T52.6: Revision of digital fasciectomy
T52.8,T52.8: Other specified excision of other fascia
T52.9,T52.9: Unspecified excision of other fascia
T53.1,T53.1: Excision of lesion of fascia
T53.2,T53.2: Destruction of lesion of fascia
T53.8,T53.8: Other specified extirpation of lesion of fascia
T53.9,T53.9: Unspecified extirpation of lesion of fascia
T54.1,T54.1: Division of palmar fascia NEC
T54.2,T54.2: Division of plantar fascia NEC
T54.3,T54.3: Needle fasciotomy of palmar fascia
T54.4,T54.4: Needle fasciotomy of plantar fascia
T54.8,T54.8: Other specified division of fascia
T54.9,T54.9: Unspecified division of fascia
T55.1,T55.1: Release fasciotomy of upper arm
T55.2,T55.2: Release fasciotomy of forearm
T55.3,T55.3: Release fasciotomy of thigh
T55.4,T55.4: Release fasciotomy of anterior compartment of lower leg
T55.5,T55.5: Release fasciotomy of posterior compartment of lower leg
T55.6,T55.6: Release fasciotomy of leg NEC
T55.8,T55.8: Other specified release of fascia
T55.9,T55.9: Unspecified release of fascia
T56.1,T56.1: Dermofasciectomy
T56.2,T56.2: Revision of dermofasciectomy
T56.8,T56.8: Other specified other excision of other fascia
T56.9,T56.9: Unspecified other excision of other fascia
T57.1,T57.1: Freeing of adhesions of fascia
T57.2,T57.2: Biopsy of lesion of fascia
T57.3,T57.3: Repair of fascia
T57.4,T57.4: Stripping of fascia
T57.5,T57.5: Injection of therapeutic substance into fascia
T57.8,T57.8: Other specified other operations on fascia
T57.9,T57.9: Unspecified other operations on fascia
T59.1,T59.1: Excision of ganglion of wrist
T59.2,T59.2: Excision of ganglion of hand NEC
T59.3,T59.3: Excision of ganglion of knee
T59.4,T59.4: Excision of ganglion of foot
T59.8,T59.8: Other specified excision of ganglion
T59.9,T59.9: Unspecified excision of ganglion
T60.1,T60.1: Re-excision of ganglion of wrist
T60.2,T60.2: Re-excision of ganglion of hand NEC
T60.3,T60.3: Re-excision of ganglion of knee
T60.4,T60.4: Re-excision of ganglion of foot
T60.8,T60.8: Other specified re-excision of ganglion
T60.9,T60.9: Unspecified re-excision of ganglion
T61.1,T61.1: Aspiration of ganglion
T61.2,T61.2: Biopsy of ganglion
T61.3,T61.3: Injection of ganglion
T61.8,T61.8: Other specified other operations on ganglion
T61.9,T61.9: Unspecified other operations on ganglion
T62.1,T62.1: Total excision of bursa
T62.2,T62.2: Excision of bursa NEC
T62.3,T62.3: Biopsy of lesion of bursa
T62.4,T62.4: Aspiration of bursa
T62.5,T62.5: Injection into bursa
T62.6,T62.6: Exploration of bursa
T62.8,T62.8: Other specified operations on bursa
T62.9,T62.9: Unspecified operations on bursa
T64.1,T64.1: Multiple transfer of tendon to tendon
T64.2,T64.2: Transfer of tendon to tendon NEC
T64.3,T64.3: Multiple insertion of tendons into bone
T64.4,T64.4: Insertion of tendon into bone NEC
T64.5,T64.5: Tenodesis
T64.8,T64.8: Other specified transposition of tendon
T64.9,T64.9: Unspecified transposition of tendon
T65.1,T65.1: Sacrifice of tendon
